[Sensor: Sin Wave 2] { Time: 4:01:34 AM 04 01 34 .000; Data: 0.790435; } 
[Sensor: Sin Wave 2] { Time: 4:04:05 AM 04 04 05 .000; Data: 0.897943; } 
[Sensor: Sin Wave 2] { Time: 4:04:10 AM 04 04 10 .000; Data: -0.167322; } 
[Sensor: Sin Wave 2] { Time: 4:04:15 AM 04 04 15 .000; Data: -0.992869; } 
[Sensor: Sin Wave 2] { Time: 4:04:20 AM 04 04 20 .000; Data: -0.395956; } 
[Sensor: Sin Wave 2] { Time: 4:04:25 AM 04 04 25 .000; Data: 0.768233; } 
[Sensor: Sin Wave 2] { Time: 4:04:30 AM 04 04 30 .000; Data: 0.831793; } 
[Sensor: Sin Wave 2] { Time: 4:04:35 AM 04 04 35 .000; Data: -0.296336; } 
[Sensor: Sin Wave 2] { Time: 4:04:40 AM 04 04 40 .000; Data: -0.999912; } 
[Sensor: Sin Wave 2] { Time: 4:04:45 AM 04 04 45 .000; Data: -0.270938; } 
[Sensor: Sin Wave 2] { Time: 4:04:50 AM 04 04 50 .000; Data: 0.846202; } 
[Sensor: Sin Wave 2] { Time: 4:04:55 AM 04 04 55 .000; Data: 0.751010; } 
[Sensor: Sin Wave 2] { Time: 4:05:00 AM 04 05 00 .000; Data: -0.420136; } 
[Sensor: Sin Wave 2] { Time: 4:05:05 AM 04 05 05 .000; Data: -0.989363; } 
[Sensor: Sin Wave 2] { Time: 4:05:10 AM 04 05 10 .000; Data: -0.141153; } 
[Sensor: Sin Wave 2] { Time: 4:05:15 AM 04 05 15 .000; Data: 0.909283; } 
[Sensor: Sin Wave 2] { Time: 4:05:20 AM 04 05 20 .000; Data: 0.657012; } 
[Sensor: Sin Wave 2] { Time: 4:05:25 AM 04 05 25 .000; Data: -0.536544; } 
[Sensor: Sin Wave 2] { Time: 4:05:30 AM 04 05 30 .000; Data: -0.961407; } 
[Sensor: Sin Wave 2] { Time: 4:05:35 AM 04 05 35 .000; Data: -0.008885; } 
[Sensor: Sin Wave 2] { Time: 4:05:40 AM 04 05 40 .000; Data: 0.956366; } 
[Sensor: Sin Wave 2] { Time: 4:05:45 AM 04 05 45 .000; Data: 0.551455; } 
[Sensor: Sin Wave 2] { Time: 4:05:50 AM 04 05 50 .000; Data: -0.643512; } 
[Sensor: Sin Wave 2] { Time: 4:05:55 AM 04 05 55 .000; Data: -0.916535; } 
[Sensor: Sin Wave 2] { Time: 4:06:00 AM 04 06 00 .000; Data: 0.123540; } 
[Sensor: Sin Wave 2] { Time: 4:06:05 AM 04 06 05 .000; Data: 0.986622; } 
[Sensor: Sin Wave 2] { Time: 4:06:10 AM 04 06 10 .000; Data: 0.436195; } 
[Sensor: Sin Wave 2] { Time: 4:06:15 AM 04 06 15 .000; Data: -0.739158; } 
[Sensor: Sin Wave 2] { Time: 4:06:20 AM 04 06 20 .000; Data: -0.855537; } 
[Sensor: Sin Wave 2] { Time: 4:06:25 AM 04 06 25 .000; Data: 0.253791; } 
[Sensor: Sin Wave 2] { Time: 4:06:30 AM 04 06 30 .000; Data: 0.999519; } 
[Sensor: Sin Wave 2] { Time: 4:06:35 AM 04 06 35 .000; Data: 0.313261; } 
[Sensor: Sin Wave 2] { Time: 4:06:40 AM 04 06 40 .000; Data: -0.821799; } 
[Sensor: Sin Wave 2] { Time: 4:06:45 AM 04 06 45 .000; Data: -0.779487; } 
[Sensor: Sin Wave 2] { Time: 4:06:50 AM 04 06 50 .000; Data: 0.379576; } 
[Sensor: Sin Wave 2] { Time: 4:06:55 AM 04 06 55 .000; Data: 0.994830; } 
[Sensor: Sin Wave 2] { Time: 4:07:00 AM 04 07 00 .000; Data: 0.184815; } 
[Sensor: Sin Wave 2] { Time: 4:07:05 AM 04 07 05 .000; Data: -0.889980; } 
[Sensor: Sin Wave 2] { Time: 4:07:10 AM 04 07 10 .000; Data: -0.689722; } 
[Sensor: Sin Wave 2] { Time: 4:07:15 AM 04 07 15 .000; Data: 0.498684; } 
[Sensor: Sin Wave 2] { Time: 4:07:20 AM 04 07 20 .000; Data: 0.972638; } 
[Sensor: Sin Wave 2] { Time: 4:07:25 AM 04 07 25 .000; Data: 0.053117; } 
[Sensor: Sin Wave 2] { Time: 4:07:30 AM 04 07 30 .000; Data: -0.942503; } 
[Sensor: Sin Wave 2] { Time: 4:07:35 AM 04 07 35 .000; Data: -0.587822; } 
[Sensor: Sin Wave 2] { Time: 4:07:40 AM 04 07 40 .000; Data: 0.609017; } 
[Sensor: Sin Wave 2] { Time: 4:07:45 AM 04 07 45 .000; Data: 0.933333; } 
[Sensor: Sin Wave 2] { Time: 4:07:50 AM 04 07 50 .000; Data: -0.079515; } 
[Sensor: Sin Wave 2] { Time: 4:07:55 AM 04 07 55 .000; Data: -0.978443; } 
[Sensor: Sin Wave 2] { Time: 4:08:00 AM 04 08 00 .000; Data: -0.475580; } 
[Sensor: Sin Wave 2] { Time: 4:08:05 AM 04 08 05 .000; Data: 0.708635; } 
[Sensor: Sin Wave 2] { Time: 4:08:10 AM 04 08 10 .000; Data: 0.877606; } 
[Sensor: Sin Wave 2] { Time: 4:08:15 AM 04 08 15 .000; Data: -0.210748; } 
[Sensor: Sin Wave 2] { Time: 4:08:20 AM 04 08 20 .000; Data: -0.997168; } 
[Sensor: Sin Wave 2] { Time: 4:08:25 AM 04 08 25 .000; Data: -0.354970; } 
[Sensor: Sin Wave 2] { Time: 4:08:30 AM 04 08 30 .000; Data: 0.795785; } 
[Sensor: Sin Wave 2] { Time: 4:08:35 AM 04 08 35 .000; Data: 0.806438; } 
[Sensor: Sin Wave 2] { Time: 4:08:40 AM 04 08 40 .000; Data: -0.338273; } 
[Sensor: Sin Wave 2] { Time: 4:08:45 AM 04 08 45 .000; Data: -0.998349; } 
[Sensor: Sin Wave 2] { Time: 4:08:50 AM 04 08 50 .000; Data: -0.228114; } 
[Sensor: Sin Wave 2] { Time: 4:08:55 AM 04 08 55 .000; Data: 0.868934; } 
[Sensor: Sin Wave 2] { Time: 4:09:00 AM 04 09 00 .000; Data: 0.721082; } 
[Sensor: Sin Wave 2] { Time: 4:09:05 AM 04 09 05 .000; Data: -0.459847; } 
[Sensor: Sin Wave 2] { Time: 4:09:10 AM 04 09 10 .000; Data: -0.981964; } 
[Sensor: Sin Wave 2] { Time: 4:09:15 AM 04 09 15 .000; Data: -0.097246; } 
[Sensor: Sin Wave 2] { Time: 4:09:20 AM 04 09 20 .000; Data: 0.926795; } 
[Sensor: Sin Wave 2] { Time: 4:09:25 AM 04 09 25 .000; Data: 0.623039; } 
[Sensor: Sin Wave 2] { Time: 4:09:30 AM 04 09 30 .000; Data: -0.573330; } 
[Sensor: Sin Wave 2] { Time: 4:09:35 AM 04 09 35 .000; Data: -0.948302; } 
[Sensor: Sin Wave 2] { Time: 4:09:40 AM 04 09 40 .000; Data: 0.035334; } 
[Sensor: Sin Wave 2] { Time: 4:09:45 AM 04 09 45 .000; Data: 0.968349; } 
[Sensor: Sin Wave 2] { Time: 4:09:50 AM 04 09 50 .000; Data: 0.514033; } 
[Sensor: Sin Wave 2] { Time: 4:09:55 AM 04 09 55 .000; Data: -0.676725; } 
[Sensor: Sin Wave 2] { Time: 4:10:00 AM 04 10 00 .000; Data: -0.897956; } 
[Sensor: Sin Wave 2] { Time: 4:10:05 AM 04 10 05 .000; Data: 0.167293; } 
[Sensor: Sin Wave 2] { Time: 4:10:10 AM 04 10 10 .000; Data: 0.992865; } 
[Sensor: Sin Wave 2] { Time: 4:10:15 AM 04 10 15 .000; Data: 0.395984; } 
[Sensor: Sin Wave 2] { Time: 4:10:20 AM 04 10 20 .000; Data: -0.768214; } 
[Sensor: Sin Wave 2] { Time: 4:10:25 AM 04 10 25 .000; Data: -0.831810; } 
[Sensor: Sin Wave 2] { Time: 4:10:30 AM 04 10 30 .000; Data: 0.296308; } 
[Sensor: Sin Wave 2] { Time: 4:10:35 AM 04 10 35 .000; Data: 0.999913; } 
[Sensor: Sin Wave 2] { Time: 4:10:40 AM 04 10 40 .000; Data: 0.270967; } 
[Sensor: Sin Wave 2] { Time: 4:10:45 AM 04 10 45 .000; Data: -0.846186; } 
[Sensor: Sin Wave 2] { Time: 4:10:50 AM 04 10 50 .000; Data: -0.751029; } 
[Sensor: Sin Wave 2] { Time: 4:10:55 AM 04 10 55 .000; Data: 0.420109; } 
[Sensor: Sin Wave 2] { Time: 4:11:00 AM 04 11 00 .000; Data: 0.989368; } 
[Sensor: Sin Wave 2] { Time: 4:11:05 AM 04 11 05 .000; Data: 0.141183; } 
[Sensor: Sin Wave 2] { Time: 4:11:10 AM 04 11 10 .000; Data: -0.909271; } 
[Sensor: Sin Wave 2] { Time: 4:11:15 AM 04 11 15 .000; Data: -0.657035; } 
[Sensor: Sin Wave 2] { Time: 4:11:20 AM 04 11 20 .000; Data: 0.536519; } 
[Sensor: Sin Wave 2] { Time: 4:11:25 AM 04 11 25 .000; Data: 0.961415; } 
[Sensor: Sin Wave 2] { Time: 4:11:30 AM 04 11 30 .000; Data: 0.008915; } 
[Sensor: Sin Wave 2] { Time: 4:11:35 AM 04 11 35 .000; Data: -0.956357; } 
[Sensor: Sin Wave 2] { Time: 4:11:40 AM 04 11 40 .000; Data: -0.551480; } 
[Sensor: Sin Wave 2] { Time: 4:11:45 AM 04 11 45 .000; Data: 0.643489; } 
[Sensor: Sin Wave 2] { Time: 4:11:50 AM 04 11 50 .000; Data: 0.916547; } 
[Sensor: Sin Wave 2] { Time: 4:11:55 AM 04 11 55 .000; Data: -0.123510; } 
[Sensor: Sin Wave 2] { Time: 4:12:00 AM 04 12 00 .000; Data: -0.986617; } 
[Sensor: Sin Wave 2] { Time: 4:12:05 AM 04 12 05 .000; Data: -0.436222; } 
[Sensor: Sin Wave 2] { Time: 4:12:10 AM 04 12 10 .000; Data: 0.739138; } 
[Sensor: Sin Wave 2] { Time: 4:12:15 AM 04 12 15 .000; Data: 0.855553; } 
[Sensor: Sin Wave 2] { Time: 4:12:20 AM 04 12 20 .000; Data: -0.253762; } 
[Sensor: Sin Wave 2] { Time: 4:12:25 AM 04 12 25 .000; Data: -0.999518; } 
[Sensor: Sin Wave 2] { Time: 4:12:30 AM 04 12 30 .000; Data: -0.313289; } 
[Sensor: Sin Wave 2] { Time: 4:12:35 AM 04 12 35 .000; Data: 0.821781; } 
[Sensor: Sin Wave 2] { Time: 4:12:40 AM 04 12 40 .000; Data: 0.779506; } 
[Sensor: Sin Wave 2] { Time: 4:12:45 AM 04 12 45 .000; Data: -0.379549; } 
[Sensor: Sin Wave 2] { Time: 4:12:50 AM 04 12 50 .000; Data: -0.994833; } 
[Sensor: Sin Wave 2] { Time: 4:12:55 AM 04 12 55 .000; Data: -0.184845; } 
[Sensor: Sin Wave 2] { Time: 4:13:00 AM 04 13 00 .000; Data: 0.889966; } 
[Sensor: Sin Wave 2] { Time: 4:13:05 AM 04 13 05 .000; Data: 0.689744; } 
[Sensor: Sin Wave 2] { Time: 4:13:10 AM 04 13 10 .000; Data: -0.498658; } 
[Sensor: Sin Wave 2] { Time: 4:13:15 AM 04 13 15 .000; Data: -0.972645; } 
[Sensor: Sin Wave 2] { Time: 4:13:20 AM 04 13 20 .000; Data: -0.053147; } 
[Sensor: Sin Wave 2] { Time: 4:13:25 AM 04 13 25 .000; Data: 0.942493; } 
[Sensor: Sin Wave 2] { Time: 4:13:30 AM 04 13 30 .000; Data: 0.587847; } 
[Sensor: Sin Wave 2] { Time: 4:13:35 AM 04 13 35 .000; Data: -0.608993; } 
[Sensor: Sin Wave 2] { Time: 4:13:40 AM 04 13 40 .000; Data: -0.933343; } 
[Sensor: Sin Wave 2] { Time: 4:13:45 AM 04 13 45 .000; Data: 0.079485; } 
[Sensor: Sin Wave 2] { Time: 4:13:50 AM 04 13 50 .000; Data: 0.978437; } 
[Sensor: Sin Wave 2] { Time: 4:13:55 AM 04 13 55 .000; Data: 0.475606; } 
[Sensor: Sin Wave 2] { Time: 4:14:00 AM 04 14 00 .000; Data: -0.708614; } 
[Sensor: Sin Wave 2] { Time: 4:14:05 AM 04 14 05 .000; Data: -0.877620; } 
[Sensor: Sin Wave 2] { Time: 4:14:10 AM 04 14 10 .000; Data: 0.210719; } 
[Sensor: Sin Wave 2] { Time: 4:14:15 AM 04 14 15 .000; Data: 0.997166; } 
[Sensor: Sin Wave 2] { Time: 4:14:20 AM 04 14 20 .000; Data: 0.354998; } 
[Sensor: Sin Wave 2] { Time: 4:14:25 AM 04 14 25 .000; Data: -0.795767; } 
[Sensor: Sin Wave 2] { Time: 4:14:30 AM 04 14 30 .000; Data: -0.806456; } 
[Sensor: Sin Wave 2] { Time: 4:14:35 AM 04 14 35 .000; Data: 0.338245; } 
[Sensor: Sin Wave 2] { Time: 4:14:40 AM 04 14 40 .000; Data: 0.998351; } 
[Sensor: Sin Wave 2] { Time: 4:14:45 AM 04 14 45 .000; Data: 0.228144; } 
[Sensor: Sin Wave 2] { Time: 4:14:50 AM 04 14 50 .000; Data: -0.868919; } 
[Sensor: Sin Wave 2] { Time: 4:14:55 AM 04 14 55 .000; Data: -0.721103; } 
[Sensor: Sin Wave 2] { Time: 4:15:00 AM 04 15 00 .000; Data: 0.459820; } 
[Sensor: Sin Wave 2] { Time: 4:15:05 AM 04 15 05 .000; Data: 0.981970; } 
[Sensor: Sin Wave 2] { Time: 4:15:10 AM 04 15 10 .000; Data: 0.097276; } 
[Sensor: Sin Wave 2] { Time: 4:15:15 AM 04 15 15 .000; Data: -0.926783; } 
[Sensor: Sin Wave 2] { Time: 4:15:20 AM 04 15 20 .000; Data: -0.623062; } 
[Sensor: Sin Wave 2] { Time: 4:15:25 AM 04 15 25 .000; Data: 0.573305; } 
[Sensor: Sin Wave 2] { Time: 4:15:30 AM 04 15 30 .000; Data: 0.948312; } 
[Sensor: Sin Wave 2] { Time: 4:15:35 AM 04 15 35 .000; Data: -0.035304; } 
[Sensor: Sin Wave 2] { Time: 4:15:40 AM 04 15 40 .000; Data: -0.968341; } 
[Sensor: Sin Wave 2] { Time: 4:15:45 AM 04 15 45 .000; Data: -0.514059; } 
[Sensor: Sin Wave 2] { Time: 4:15:50 AM 04 15 50 .000; Data: 0.676703; } 
[Sensor: Sin Wave 2] { Time: 4:15:55 AM 04 15 55 .000; Data: 0.897969; } 
[Sensor: Sin Wave 2] { Time: 4:16:00 AM 04 16 00 .000; Data: -0.167263; } 
[Sensor: Sin Wave 2] { Time: 4:16:05 AM 04 16 05 .000; Data: -0.992861; } 
[Sensor: Sin Wave 2] { Time: 4:16:10 AM 04 16 10 .000; Data: -0.396012; } 
[Sensor: Sin Wave 2] { Time: 4:16:15 AM 04 16 15 .000; Data: 0.768194; } 
[Sensor: Sin Wave 2] { Time: 4:16:20 AM 04 16 20 .000; Data: 0.831827; } 
[Sensor: Sin Wave 2] { Time: 4:16:25 AM 04 16 25 .000; Data: -0.296279; } 
[Sensor: Sin Wave 2] { Time: 4:16:30 AM 04 16 30 .000; Data: -0.999913; } 
[Sensor: Sin Wave 2] { Time: 4:16:35 AM 04 16 35 .000; Data: -0.270996; } 
[Sensor: Sin Wave 2] { Time: 4:16:40 AM 04 16 40 .000; Data: 0.846170; } 
[Sensor: Sin Wave 2] { Time: 4:16:45 AM 04 16 45 .000; Data: 0.751049; } 
[Sensor: Sin Wave 2] { Time: 4:16:50 AM 04 16 50 .000; Data: -0.420082; } 
[Sensor: Sin Wave 2] { Time: 4:16:55 AM 04 16 55 .000; Data: -0.989372; } 
[Sensor: Sin Wave 2] { Time: 4:17:00 AM 04 17 00 .000; Data: -0.141213; } 
[Sensor: Sin Wave 2] { Time: 4:17:05 AM 04 17 05 .000; Data: 0.909258; } 
[Sensor: Sin Wave 2] { Time: 4:17:10 AM 04 17 10 .000; Data: 0.657058; } 
[Sensor: Sin Wave 2] { Time: 4:17:15 AM 04 17 15 .000; Data: -0.536494; } 
[Sensor: Sin Wave 2] { Time: 4:17:20 AM 04 17 20 .000; Data: -0.961423; } 
[Sensor: Sin Wave 2] { Time: 4:17:26 AM 04 17 26 .000; Data: -0.846271; } 
[Sensor: Sin Wave 2] { Time: 4:17:30 AM 04 17 30 .000; Data: 0.956348; } 
[Sensor: Sin Wave 2] { Time: 4:17:35 AM 04 17 35 .000; Data: 0.551505; } 
[Sensor: Sin Wave 2] { Time: 4:17:40 AM 04 17 40 .000; Data: -0.643466; } 
[Sensor: Sin Wave 2] { Time: 4:17:45 AM 04 17 45 .000; Data: -0.916559; } 
[Sensor: Sin Wave 2] { Time: 4:17:50 AM 04 17 50 .000; Data: 0.123480; } 
[Sensor: Sin Wave 2] { Time: 4:17:55 AM 04 17 55 .000; Data: 0.986612; } 
[Sensor: Sin Wave 2] { Time: 4:18:00 AM 04 18 00 .000; Data: 0.436249; } 
[Sensor: Sin Wave 2] { Time: 4:18:05 AM 04 18 05 .000; Data: -0.739117; } 
[Sensor: Sin Wave 2] { Time: 4:18:10 AM 04 18 10 .000; Data: -0.855569; } 
[Sensor: Sin Wave 2] { Time: 4:18:15 AM 04 18 15 .000; Data: 0.253732; } 
[Sensor: Sin Wave 2] { Time: 4:18:20 AM 04 18 20 .000; Data: 0.999517; } 
[Sensor: Sin Wave 2] { Time: 4:18:25 AM 04 18 25 .000; Data: 0.313318; } 
[Sensor: Sin Wave 2] { Time: 4:18:30 AM 04 18 30 .000; Data: -0.821764; } 
[Sensor: Sin Wave 2] { Time: 4:18:35 AM 04 18 35 .000; Data: -0.779525; } 
[Sensor: Sin Wave 2] { Time: 4:18:40 AM 04 18 40 .000; Data: 0.379521; } 
[Sensor: Sin Wave 2] { Time: 4:18:45 AM 04 18 45 .000; Data: 0.994836; } 
[Sensor: Sin Wave 2] { Time: 4:18:50 AM 04 18 50 .000; Data: 0.184874; } 
[Sensor: Sin Wave 2] { Time: 4:18:55 AM 04 18 55 .000; Data: -0.889953; } 
[Sensor: Sin Wave 2] { Time: 4:19:00 AM 04 19 00 .000; Data: -0.689766; } 
[Sensor: Sin Wave 2] { Time: 4:19:05 AM 04 19 05 .000; Data: 0.498632; } 
[Sensor: Sin Wave 2] { Time: 4:19:10 AM 04 19 10 .000; Data: 0.972652; } 
[Sensor: Sin Wave 2] { Time: 4:19:15 AM 04 19 15 .000; Data: 0.053178; } 
[Sensor: Sin Wave 2] { Time: 4:19:20 AM 04 19 20 .000; Data: -0.942483; } 
[Sensor: Sin Wave 2] { Time: 4:19:25 AM 04 19 25 .000; Data: -0.587871; } 
[Sensor: Sin Wave 2] { Time: 4:19:30 AM 04 19 30 .000; Data: 0.608969; } 
[Sensor: Sin Wave 2] { Time: 4:19:35 AM 04 19 35 .000; Data: 0.933354; } 
[Sensor: Sin Wave 2] { Time: 4:19:40 AM 04 19 40 .000; Data: -0.079455; } 
[Sensor: Sin Wave 2] { Time: 4:19:45 AM 04 19 45 .000; Data: -0.978431; } 
[Sensor: Sin Wave 2] { Time: 4:19:50 AM 04 19 50 .000; Data: -0.475633; } 
[Sensor: Sin Wave 2] { Time: 4:19:55 AM 04 19 55 .000; Data: 0.708593; } 
[Sensor: Sin Wave 2] { Time: 4:20:00 AM 04 20 00 .000; Data: 0.877635; } 
[Sensor: Sin Wave 2] { Time: 4:20:05 AM 04 20 05 .000; Data: -0.210689; } 
[Sensor: Sin Wave 2] { Time: 4:20:10 AM 04 20 10 .000; Data: -0.997164; } 
[Sensor: Sin Wave 2] { Time: 4:20:15 AM 04 20 15 .000; Data: -0.355026; } 
[Sensor: Sin Wave 2] { Time: 4:20:20 AM 04 20 20 .000; Data: 0.795749; } 
[Sensor: Sin Wave 2] { Time: 4:20:26 AM 04 20 26 .000; Data: 0.933276; } 
[Sensor: Sin Wave 2] { Time: 4:20:30 AM 04 20 30 .000; Data: -0.338217; } 
[Sensor: Sin Wave 2] { Time: 4:20:35 AM 04 20 35 .000; Data: -0.998352; } 
[Sensor: Sin Wave 2] { Time: 4:20:40 AM 04 20 40 .000; Data: -0.228173; } 
[Sensor: Sin Wave 2] { Time: 4:20:45 AM 04 20 45 .000; Data: 0.868904; } 
[Sensor: Sin Wave 2] { Time: 4:20:50 AM 04 20 50 .000; Data: 0.721124; } 
[Sensor: Sin Wave 2] { Time: 4:20:55 AM 04 20 55 .000; Data: -0.459793; } 
[Sensor: Sin Wave 2] { Time: 4:21:00 AM 04 21 00 .000; Data: -0.981976; } 
[Sensor: Sin Wave 2] { Time: 4:21:05 AM 04 21 05 .000; Data: -0.097306; } 
[Sensor: Sin Wave 2] { Time: 4:21:10 AM 04 21 10 .000; Data: 0.926772; } 
[Sensor: Sin Wave 2] { Time: 4:21:15 AM 04 21 15 .000; Data: 0.623086; } 
[Sensor: Sin Wave 2] { Time: 4:21:20 AM 04 21 20 .000; Data: -0.573280; } 
[Sensor: Sin Wave 2] { Time: 4:21:25 AM 04 21 25 .000; Data: -0.948322; } 
[Sensor: Sin Wave 2] { Time: 4:21:30 AM 04 21 30 .000; Data: 0.035274; } 
[Sensor: Sin Wave 2] { Time: 4:21:35 AM 04 21 35 .000; Data: 0.968333; } 
[Sensor: Sin Wave 2] { Time: 4:21:40 AM 04 21 40 .000; Data: 0.514085; } 
[Sensor: Sin Wave 2] { Time: 4:21:45 AM 04 21 45 .000; Data: -0.676681; } 
[Sensor: Sin Wave 2] { Time: 4:21:50 AM 04 21 50 .000; Data: -0.897982; } 
[Sensor: Sin Wave 2] { Time: 4:21:55 AM 04 21 55 .000; Data: 0.167233; } 
[Sensor: Sin Wave 2] { Time: 4:22:00 AM 04 22 00 .000; Data: 0.992858; } 
[Sensor: Sin Wave 2] { Time: 4:22:05 AM 04 22 05 .000; Data: 0.396039; } 
[Sensor: Sin Wave 2] { Time: 4:22:10 AM 04 22 10 .000; Data: -0.768175; } 
[Sensor: Sin Wave 2] { Time: 4:22:15 AM 04 22 15 .000; Data: -0.831844; } 
[Sensor: Sin Wave 2] { Time: 4:22:20 AM 04 22 20 .000; Data: 0.296250; } 
[Sensor: Sin Wave 2] { Time: 4:22:25 AM 04 22 25 .000; Data: 0.999914; } 
[Sensor: Sin Wave 2] { Time: 4:22:30 AM 04 22 30 .000; Data: 0.271025; } 
[Sensor: Sin Wave 2] { Time: 4:22:35 AM 04 22 35 .000; Data: -0.846154; } 
[Sensor: Sin Wave 2] { Time: 4:22:40 AM 04 22 40 .000; Data: -0.751069; } 
[Sensor: Sin Wave 2] { Time: 4:22:45 AM 04 22 45 .000; Data: 0.420054; } 
[Sensor: Sin Wave 2] { Time: 4:22:50 AM 04 22 50 .000; Data: 0.989376; } 
[Sensor: Sin Wave 2] { Time: 4:22:55 AM 04 22 55 .000; Data: 0.141243; } 
[Sensor: Sin Wave 2] { Time: 4:23:00 AM 04 23 00 .000; Data: -0.909246; } 
[Sensor: Sin Wave 2] { Time: 4:23:05 AM 04 23 05 .000; Data: -0.657080; } 
[Sensor: Sin Wave 2] { Time: 4:23:10 AM 04 23 10 .000; Data: 0.536468; } 
[Sensor: Sin Wave 2] { Time: 4:23:15 AM 04 23 15 .000; Data: 0.961432; } 
[Sensor: Sin Wave 2] { Time: 4:23:20 AM 04 23 20 .000; Data: 0.008976; } 
[Sensor: Sin Wave 2] { Time: 4:23:25 AM 04 23 25 .000; Data: -0.956340; } 
[Sensor: Sin Wave 2] { Time: 4:23:30 AM 04 23 30 .000; Data: -0.551530; } 
[Sensor: Sin Wave 2] { Time: 4:23:35 AM 04 23 35 .000; Data: 0.643443; } 
[Sensor: Sin Wave 2] { Time: 4:23:40 AM 04 23 40 .000; Data: 0.916571; } 
[Sensor: Sin Wave 2] { Time: 4:23:45 AM 04 23 45 .000; Data: -0.123450; } 
[Sensor: Sin Wave 2] { Time: 4:23:50 AM 04 23 50 .000; Data: -0.986607; } 
[Sensor: Sin Wave 2] { Time: 4:23:55 AM 04 23 55 .000; Data: -0.436277; } 
[Sensor: Sin Wave 2] { Time: 4:24:00 AM 04 24 00 .000; Data: 0.739097; } 
[Sensor: Sin Wave 2] { Time: 4:24:05 AM 04 24 05 .000; Data: 0.855584; } 
[Sensor: Sin Wave 2] { Time: 4:24:10 AM 04 24 10 .000; Data: -0.253703; } 
[Sensor: Sin Wave 2] { Time: 4:24:15 AM 04 24 15 .000; Data: -0.999516; } 
[Sensor: Sin Wave 2] { Time: 4:24:20 AM 04 24 20 .000; Data: -0.313347; } 
[Sensor: Sin Wave 2] { Time: 4:24:25 AM 04 24 25 .000; Data: 0.821747; } 
[Sensor: Sin Wave 2] { Time: 4:24:30 AM 04 24 30 .000; Data: 0.779544; } 
[Sensor: Sin Wave 2] { Time: 4:24:35 AM 04 24 35 .000; Data: -0.379493; } 
[Sensor: Sin Wave 2] { Time: 4:24:40 AM 04 24 40 .000; Data: -0.994839; } 
